DNN-1,DNN-2,Rate,Processors,Memory,Response Time,error_percentage,Baseline-Response,Response Time Inflation,fat_response_time,fat_inflation,Baseline-Sum,Baseline-DNN-2,sum_of_fat_cohost_times,SLA_Level_1,SLA_Level_2,SLA_Level_3,All_SLA_Levels_Violated,sla_level_1_fat,sla_level_2_fat,sla_level_3_fat,all_fat_sla_levels_violated,UL-1,UL-2,SLA_1_Diff,SLA_2_Diff,SLA_3_Diff,SLA1<30,SLA2<30%,SLA3<30%
mnist,resnet,4,6,6,3.4,0,2.7,1.259259259,3.6,1.333333333,177.1,174.4,131,1,1,1,0,1,1,1,0,4,2,0.029411765,1.058823529,3.117647059,1,0,0
mnist,resnet,6,6,6,3.6,0,2.7,1.333333333,3.6,1.333333333,213.8,211.1,148,0,1,1,0,1,1,1,0,4,2,0.027777778,0.944444444,2.888888889,1,0,0
mnist,resnet,8,6,6,3.6,0,2.5,1.44,3.9,1.56,270.6,268.1,161.4,0,1,1,0,1,1,1,0,4,2,0.027777778,0.944444444,2.888888889,1,0,0
mnist,resnet,10,6,6,3.7,0,2.7,1.37037037,5.4,2,393.2,390.5,173.9,0,1,1,0,1,1,1,0,4,2,0.054054054,0.891891892,2.783783784,1,0,0
mnist,resnet,12,6,6,4,0,2.5,1.6,11.4,4.56,965.1,962.6,206.7,0,1,1,0,1,1,1,0,4,2,0.125,0.75,2.5,1,0,0
mnist,resnet,14,6,6,4.1,0,2.5,1.64,22.8,9.12,4697.7,4695.2,259,0,1,1,0,1,1,1,0,4,2,0.146341463,0.707317073,2.414634146,1,0,0
mnist,resnet,16,6,6,3.8,0,2.5,1.52,67.5,27,8998.3,8995.8,369.8,0,1,1,0,1,1,1,0,4,2,0.078947368,0.842105263,2.684210526,1,0,0
mnist,resnet,18,6,6,3.9,0,2.5,1.56,598.8,239.52,14026.2,14023.7,1474.1,0,1,1,0,0,1,1,0,4,2,0.102564103,0.794871795,2.58974359,1,0,0
mnist,resnet,20,6,6,3.9,0,2.5,1.56,4804.9,1921.96,18792.8,18790.3,9574.1,0,1,1,0,0,0,0,1,4,2,0.102564103,0.794871795,2.58974359,1,0,0
mnist,resnet,2,8,8,4.1,0,3.6,1.138888889,3.8,1.055555556,136.6,133,109.1,0,1,1,0,1,1,1,0,4,2,0.146341463,0.707317073,2.414634146,1,0,0
mnist,resnet,4,8,8,3.7,0,2.6,1.423076923,3.1,1.192307692,151.7,149.1,113.7,0,1,1,0,1,1,1,0,4,2,0.054054054,0.891891892,2.783783784,1,0,0
